OBJECTID_1;LECCODIGO;LECNOMBRE;LECDIRECCI;LECTELEFON;LECEMAIL;LECPAGWEB;LECCODLOC;LECNOMLOC;LECCODUPZ;LECNOMUPZ;LECCODSEC;LECNOMSEC;LECESTADO;LECCLASIF;LECCONTACTO;LECANIO
103;222;CORPORACIÓN CULTURAL TERCER ACTO;CL 3 1A 72;2096136;corporacioterceracto@hotmail.com;http://www.terceracto.com/casa-tercer-acto/;3;SANTA FE;UPZ96;LOURDES;3212;LOURDES;N.A;TEATRO;N.A;N.A
104;223;TEATRO EL ENSUEÑO;CL 68 Sur No. 62 - 20;N.D;N.D;N.D;19;CIUDAD BOLIVAR;UPZ65;ARBORIZADORA;2416;EL ENSUENO;N.A;TEATRO;N.A;N.A
105;224;TEATRO GOYENECHUS;CL 45 No. 27 -19;3112672245;goyenechus@gmail.com;https://goyenechus.wixsite.com/goyenechus;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7101;LA SOLEDAD;N.A;TEATRO;N.A;N.A
106;225;TEATRO CASA DEL SILENCIO;KR 23 No. 69 - 18;3152730788;casadelsilencio@gmail.com;N.D;12;BARRIOS UNIDOS;UPZ98;LOS ALCAZARES;7303;COLOMBIA;N.A;TEATRO;N.A;N.A
107;226;TEATRO PETRA;KR 15 Bis No. 39 - 39;5716421447;sandra@petrateatro.com;http://www.teatropetra.com/;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7103;LA MAGDALENA;N.A;TEATRO;N.A;N.A
108;227;BASTIDOR TEATRO;CL 42 No. 26 B – 63;3142154858 - 3012408729;N.D;https://www.bastidorteatro.com/;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7101;LA SOLEDAD;N.A;TEATRO;N.A;N.A
109;228;CASA TEATRO DE BOGOTÁ;DG 40 A No. 16 - 66;3035747 - 3132511515;direccion@teatrovivocolombia.com;http://www.teatrovivocolombia.com/;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7103;LA MAGDALENA;N.A;TEATRO;N.A;N.A
110;229;LA SALA - FABRICA DE HECHOS CULTURALES;KR 22 No. 41 - 28;3164730842 - 712 5724;info@lasala.co;https://lasala.co/;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7101;LA SOLEDAD;N.A;TEATRO;N.A;N.A
111;230;Corporación Cultural Teatro Estudio Alcaraván;CL 19  No.  4 - 71;3107692834 - 3202515284 - 2431799;teatroestudioalcaravan@gmail.com;www.casatea.com;3;SANTA FE;UPZ93;LAS NIEVES;3109;VERACRUZ;N.A;TEATRO;N.A;N.A
112;231;Dantexco Danza Teatro Experimental de Colombia;CL 19  No.  4 - 71;3145608486;dantexcolombia@gmail.com;N/A;3;SANTA FE;UPZ93;LAS NIEVES;3109;VERACRUZ;N.A;TEATRO;N.A;N.A
113;232;Sala Vargas Tejada;CL 19  No.  4 - 71;3102511973 - 2821815;salavargastejada@gmail.com;www.salavargastejada.com;3;SANTA FE;UPZ93;LAS NIEVES;3109;VERACRUZ;N.A;TEATRO;N.A;N.A
114;233;Asociación Umbral Teatro;CL 19  No.  4 - 71;3157815105 - 3203044479;umbralteatro@gmail.com;www.umbralteatro.co;3;SANTA FE;UPZ93;LAS NIEVES;3109;VERACRUZ;N.A;TEATRO;N.A;N.A
115;234;Corporación Changua;CL 19  No.  4 - 71;3118344586 - 3118725007;produccioneschangua@gmail.com;www.changua.com;3;SANTA FE;UPZ93;LAS NIEVES;3109;VERACRUZ;N.A;TEATRO;N.A;N.A
116;235;"Corporación Proyecto Cultural 
Occidente PCO";CL 25  No.  9 - 43;3112630775 - 3017381329;carlosoccidente@yahoo.com - corporacionteatrooccidente@gmail.com;corporacionteatrooccidente.blogspot.com.co;3;SANTA FE;UPZ93;LAS NIEVES;3102;LAS NIEVES;N.A;TEATRO;N.A;N.A
117;236;"Asociación Cultural Ensamblaje
Teatro Comunidad";CL 25 G No. 96 - 32;3158478348 - 3112260204 - 2675476;ensamblajeteatro@yahoo.es;www.ensamblajeteatro.blogspot.com;9;FONTIBON;UPZ115;CAPELLANIA;6404;PUERTA DE TEJA;N.A;TEATRO;N.A;N.A
118;237;Asociación Grupo Teatro Tierras;CL 31  No.  4 - 27;3134245476 - 2838958;teatrotierra@hotmail.com;www.teatrotierra.org;3;SANTA FE;UPZ92;LA MACARENA;8105;LA MACARENA;N.A;TEATRO;N.A;N.A
119;238;Asociación Artistica el Anhelo;CL 45 B  No.  22 - 72;3005546918 - 3006127679;elanhelodelsalmon@gmail.com;www.elanhelodelsalmon .com;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7205;PALERMO;N.A;TEATRO;N.A;N.A
120;239;Arte cinco teatro;CL 50  No.  15 - 60;3112607942 - 3112824393 - 6405694;www.artecincoteatro1@gmail.com;N/A;13;TEUSAQUILLO;UPZ100;GALERIAS;7204;QUESADA;N.A;TEATRO;N.A;N.A
121;240;Corporación Academia Charlot;CL 70 A No. 9-51;3133497830 - 3108594551 - 3103047085 - 3450400;teatrocharlot@gmail.com;www.academiacharlot.com;2;CHAPINERO;UPZ97;CHICO LAGO;8201;QUINTA CAMACHO;N.A;TEATRO;N.A;N.A
122;241;"Fundación Artistica y Cultural Inti
Amarú";CL 91 sur  No. 12 - 90;3192426047 - 3209457448 - 7545279;colectivointiamaru@gmail.com;N/A;5;USME;UPZ58;COMUNEROS;2548;EL VIRREY;N.A;TEATRO;N.A;N.A
123;242;Corporación Foriadores de Pais;DG 40 A  No.  15 - 66;3224047444 - 3132511515 - 3035747;somos@teatrovivocolombia.com;www.teatrovivocolombia.com;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7103;LA MAGDALENA;N.A;TEATRO;N.A;N.A
124;243;El Auditorio;KR 13  No.  55 - 42;3158763092;N/A;N/A;2;CHAPINERO;UPZ99;CHAPINERO;8213;CHAPINERO CENTRAL;N.A;TEATRO;N.A;N.A
125;244;Galerías Ate y Teatro;KR 18  No.  53 - 33;3102546885;galeriasarteyteatro@gmail.com;N/A;13;TEUSAQUILLO;UPZ100;GALERIAS;7208;BANCO CENTRAL;N.A;TEATRO;N.A;N.A
126;245;Sala del Gato;KR 19  No.  58 A - 29;3222041764;lasaladelgato@gmail.com;N/A;13;TEUSAQUILLO;UPZ100;GALERIAS;7202;SAN LUIS;N.A;TEATRO;N.A;N.A
127;246;Fundación Teatro Comunidad;KR 20  No.  53 - 35;3106998323 - 3048903;teatrocomunidad@hotmail.com - teatrocomunidad@gmail.com;www.teatrocomunidad.com;13;TEUSAQUILLO;UPZ100;GALERIAS;7208;BANCO CENTRAL;N.A;TEATRO;N.A;N.A
128;247;Corporación del Teatro producciones el Mimo;KR 22  No.  41 - 28;3102200951 - 3164730842 - 7125724;prodomimo@yahoo.es;www.lasala.co;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7101;LA SOLEDAD;N.A;TEATRO;N.A;N.A
129;248;Hombre Mono;KR 25  No.  39 - 74;3133273218 - 9293682;hombremonoproducciones@gmail.com;N/A;13;TEUSAQUILLO;UPZ101;TEUSAQUILLO;7101;LA SOLEDAD;N.A;TEATRO;N.A;N.A
130;249;Corporación Teatro El Pregón;KR 25  No. 22 B - 49;3193865183 - 3197794686 - 6570138;admon.teatropregon@gmail.com;www.pregon.org;14;LOS MARTIRES;UPZ102;LA SABANA;6108;SAMPER MENDOZA;N.A;TEATRO;N.A;N.A
